Instance ID,Instance Name,IP,Hardening Score,OS,Kernel,Lynis Version,Type,ID,Description,Fix
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,WARNING,GEN-0020,Your profile contains one or more old-style configuration entries,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,WARNING,GEN-0010,This version 20.04 is marked end-of-life as of 2025-04-01,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,WARNING,PKGS-7392,Found one or more vulnerable packages.,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,WARNING,MAIL-8818,Found some information disclosure in SMTP banner (OS or software name),-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,WARNING,FIRE-4512,"iptables module(s) loaded, but no rules active",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,LYNIS,"Version of Lynis outdated, consider upgrading to the latest version",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,BOOT-5122,Set a password on GRUB boot loader to prevent altering boot configuration (e.g. boot in single user mode without password),-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,BOOT-5264,Consider hardening system services,Run '/usr/bin/systemd-analyze security SERVICE' for each service
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,KRNL-5820,"If not required, consider explicit disabling of core dump in /etc/security/limits.conf file",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9230,Configure password hashing rounds in /etc/login.defs,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9262,Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc or libpam-passwdqc,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9284,Look at the locked accounts and consider removing them,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9286,Configure minimum password age in /etc/login.defs,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9286,Configure maximum password age in /etc/login.defs,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,AUTH-9328,Default umask in /etc/login.defs could be more strict like 027,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,FILE-6310,"To decrease the impact of a full /home file system, place /home on a separate partition",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,FILE-6310,"To decrease the impact of a full /tmp file system, place /tmp on a separate partition",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,FILE-6310,"To decrease the impact of a full /var file system, place /var on a separate partition",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,USB-1000,"Disable drivers like USB storage when not used, to prevent unauthorized storage or data theft",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,NAME-4404,Add the IP name and FQDN to /etc/hosts for proper name resolving,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,PKGS-7346,"Purge old/removed packages (2 found) with aptitude purge or dpkg --purge command. This will cleanup old configuration files, cron jobs and startup scripts.",-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,PKGS-7370,Install debsums utility for the verification of packages with known good database.,-
unknown,10.1.157.226,10.1.157.226,65,Linux,#32~20.04.1-Ubuntu SMP Thu Jun 9 13:03:13 UTC 2022,3.1.4,SUGGESTION,PKGS-7392,"Update your system with apt-get update, apt-get upgrade, apt-get dist-upgrade and/or unattended-upgrades",-
